Pop,ARIMA,HoltWinters,KN
            "MissingRate": missing_rate, N_Sklearn,Kalman,LOCF,Linear,Mean,SVD_KNN,SVD_KNN_Hankel,Spline,Samples
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,95.33,94.83,95.87,92.17,93.4,94.31,95.87,95.72,95.82,92.49,40595.0
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,94.94,94.77,95.18,92.48,93.72,94.16,95.18,94.89,95.03,92.33,41509.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,100.0,100.0,100.0,93.81,100.0,99.61,100.0,100.0,100.0,99.63,812.0
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,94.72,94.37,88.91,91.17,94.34,94.17,88.91,91.3,93.34,92.16,35288.0
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,96.95,97.15,97.38,96.43,96.7,96.73,97.38,97.1,97.2,96.7,40033.0
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,95.2,94.92,95.85,92.56,93.5,94.48,95.85,95.73,95.82,92.29,44116.0
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,97.04,97.46,97.7,96.74,97.24,97.01,97.7,97.11,97.34,96.87,40714.0
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,96.84,96.6,97.11,95.11,95.24,95.61,97.11,96.69,97.07,94.14,49078.0
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,98.7,98.6,98.71,97.03,97.87,98.28,98.71,98.71,98.71,97.14,44060.0
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,94.79,94.59,95.19,91.94,93.53,93.64,95.19,95.09,95.13,91.95,29237.0
overall,96.451,96.32900000000001,96.19000000000001,93.944,95.554,95.8,96.19000000000001,96.23400000000001,96.54599999999999,94.57000000000001,36544.2
